system_id,geographic_system,master_anchor,source_reference,source_status,direct_source_state,direct_partner_loss,direct_partner_arrival_replacement,direct_realized_community_shift,direct_local_filtering,direct_assurance_breeding,direct_plant_response,comparison_structure,falsification_value,full_chapter2_contract,manuscript_value_decision,reason
hokkaido_japonolirion_2023,Hokkaido,"Hokkaido 319262",10.1111/njb.04121,primary_article_verified,no,no,no,direct,no,direct,direct,"northern Hokkaido rare endemic with visitor observations and pollination experiments",medium,fail,retain_process_candidate,"Predominantly cross-pollinated; ants and dipterans are main visitors; adds high-latitude direct pollination biology but no island-mainland transition"
tierra_fuego_fuchsia_1998,Tierra del Fuego,"Tierra del Fuego 319264",10.1046/j.1365-2435.1998.00212.x,primary_article_verified,no,no,no,direct,direct,direct,direct,"three habitats in western Tierra del Fuego with bird visitation and experimental nectar-robbery effects",high,fail,promote_next_review,"Rare effective hummingbird visitation plus abundant nectar robbers; robbery experimentally reduces fruit set by about 20%, directly resolving local interaction filtering and reproductive consequence"
mindanao_rafflesia_gap,Mindanao,"Mindanao 318886",none,initial_source_gap,no,no,no,partial,no,no,no,"targeted search recovered Rafflesia distribution/pollinator descriptions but no matched Mindanao-local primary effectiveness-to-reproduction study",medium,fail,retain_search_gap,"Do not upgrade general carrion-fly pollination knowledge or occurrence into a Mindanao-local mechanism test"
new_britain_pollination_gap,New Britain,"New Britain 318888",none,initial_source_gap,no,no,no,partial,no,no,no,"global fig-wasp/community sources include New Britain material but no matched local plant-response transition recovered",low,fail,retain_search_gap,"Specimen/locality participation is insufficient for Chapter 2 process admission"
palawan_pollination_gap,Palawan,"Palawan 318892",none,initial_source_gap,no,no,no,no,no,no,no,"targeted search did not recover a qualifying native flowering-plant pollination plus reproductive-response primary study",low,fail,retain_search_gap,"Large omitted island remains a documented literature gap rather than being silently skipped"
kodiak_pollination_gap,Kodiak,"Kodiak 318927",none,initial_source_gap,no,no,no,no,no,no,no,"targeted search did not recover a qualifying native plant pollination mechanism study",low,fail,retain_search_gap,"Agricultural or general Alaska pollination material is not promoted as Kodiak native-island evidence"
flores_pollination_gap,Flores,"Flores 318873",10.3897/phytokeys.273.184780,bounded_flora_source,no,no,no,no,no,no,no,"2026 Lesser Sunda endemic-plant checklist documents 46 Flores single-island endemics but not pollination mechanism",low,fail,retain_search_gap,"Geographic and floral target richness is verified, but mechanism evidence remains unrecovered"
halmahera_pollination_gap,Halmahera,"Halmahera 318875",10.30598/makila.v18i1.10634,bounded_visitor_source,no,no,no,partial,no,no,no,"butterfly diversity/food-plant survey and bee-forage inventories recovered without matched plant reproductive response",low,fail,retain_search_gap,"Visitor inventory is not equivalent to pollination effectiveness or plant response"
bougainville_pollination_gap,Bougainville,"Bougainville 318926",none,initial_source_gap,no,no,no,no,no,no,no,"ethnobotanical and wild-crop material recovered but no qualifying local native pollination-response study",low,fail,retain_search_gap,"Keep geography open for stronger source recovery"
new_ireland_pollination_gap,New Ireland,"New Ireland 318935",none,initial_source_gap,no,no,no,no,no,no,no,"taxonomic/locality plant records recovered but no qualifying local pollination-response study",low,fail,retain_search_gap,"Do not infer pollination mechanism from floral morphology or distribution"
buru_pollination_gap,Buru,"Buru 318932",none,initial_source_gap,no,no,no,no,no,no,no,"multi-island biodiversity sources recovered but no matched native flowering-plant pollination-response primary study",low,fail,retain_search_gap,"Buru remains geography-driven search gap"
shikotan_pollination_gap,Shikotan,"Shikotan 319522",none,initial_source_gap,no,no,no,no,no,no,no,"targeted English-language search recovered no qualifying local plant pollination mechanism source",low,fail,retain_search_gap,"Kuril geography remains open and should receive Japanese/Russian source-native follow-up"
