channel_id,taxon_or_cohort,channel_type,independence_unit,current_state,comparison_scope,usable_data_now,not_yet_available,can_enter_primary_geographic_synthesis,next_required_action,priority,source_or_artifact,boundary
H01,Campanula microdonta,source_locked_quantitative,lineage,ready_A,mainland_to_ordered_Izu_islands,"corolla length,outcrossing rate,autonomous selfing; source-locked population series",none,yes,"retain as calibration; do not duplicate-pool correlated traits",1,"Inoue 1988/1990 repository transcription","One lineage despite multiple traits."
H02,Campanula punctata,primary_source_recovery,lineage,pending_B,mainland_and_Oshima_to_southern_Izu,"reported SI-to-SC contrast",locality-level trial counts and denominators,yes,"recover original article and transcribe compatibility outcomes by locality",1,"Inoue 1986 Plant Species Biology","Do not treat reported direction as a numeric effect."
H03,Ligustrum ovalifolium,primary_source_recovery,lineage,direct_B,Honshu_to_Izu_with_Hachijo_endpoint,"publisher-abstract direction: shorter corolla tube and stamens on Izu; Hachijo strongest; pollinator fauna differs",means n variance locality labels and effort,yes,"recover original table/figure and visitor sampling design",1,"doi:10.1111/boj.12092","Direct qualitative evidence only until values are transcribed."
H04,Weigela coraeensis,primary_source_recovery,lineage,publisher_abstract_verified,insular_vs_mainland,"primary abstract: Izu corollas are smaller and corolla length decreases gradually with mainland distance; no floral-scent difference reported; pollinator-fauna differences proposed as mechanism",population means n variance exact locality map,yes,"recover the original population table before creating numeric effects or regime scores",1,"doi:10.1007/s00606-010-0317-y","Qualitative source-native direction is verified; no numeric effect is invented."
H05,Lilium auratum,variety_or_taxonomic_comparison,potential_lineage,scope_unresolved,insular_and_mainland_varieties,"article metadata names floral traits and pollinator assemblages",taxonomic circumscription and exact population design,conditional,"recover 2018 original and resolve whether a within-species geographic effect is valid",2,"doi:10.1111/1442-1984.12222","Cannot count as a primary replicate before taxonomic check."
H06,"Goodyera henryi; Goodyera similis",alternative_mechanism_source,hybrid_replacement,primary_source_verified,mainland_vs_Kozu_Island,"primary article: mainland G. henryi is exclusively pollinated by Bombus diversus; all Kozu specimens initially called G. henryi are G. henryi x G. similis hybrids; those hybrids are pollinated by the scoliid wasp also pollinating G. similis; morphology and MIG-seq support the identity change",supporting Table S1 numeric morphology values not yet transcribed,not_as_same_lineage_effect,"register as interaction-loss / hybrid-replacement evidence and keep outside same-lineage effect-size synthesis",2,"doi:10.1111/nph.19325","The previous Chionographis attribution to nph.19325 was erroneous and is removed; this source tests hybrid replacement/species-boundary change rather than a Chionographis floral-size contrast."
H07,"Campanula microdonta; C. punctata",primary_source_recovery,within_genus_context,pending_scope,"dichogamy sex allocation and mating-system study exists",whether geography is explicit and nonduplicate traits,conditional,"screen original for non-overlapping geographic trait contrasts",3,"doi:10.1111/j.1442-1984.1990.tb00179.x","Avoid double-counting Campanula calibration."
H08,Lilium auratum var. platyphyllum,within_archipelago_morphology,auxiliary_lineage,metadata_context,Izu_archipelago_only,"morphology study exists",mainland comparator and trait table,not_without_new_design,"recover source for island-only response shape; keep separate from mainland-island synthesis",3,"doi:10.17660/actahortic.2014.1025.19","Useful auxiliary channel, not a mainland-island replicate."
H09,Clerodendrum izuinsulare_vs_trichotomum,between_taxa_comparative,comparative_context,metadata_context,insular_taxon_vs_widespread_congener,"pollination and self-compatibility comparison",within-species mainland-island design,not_as_within_species,"retain for evolutionary context and mechanism discussion",4,"doi:10.1111/j.1442-1984.2012.00385.x","Between-taxon comparison."
H10,Weigela coraeensis,genetic_history_context,context,primary_abstract_verified,Honshu_and_Izu,"primary abstract: island genetic diversity decreases with mainland distance; geographic isolation differentiates island and mainland populations while some gene flow may persist to northern Izu",population-level overlap with floral localities and extractable genetic covariates,not_as_floral_effect,"recover population map and quantitative genetic table only after matching the floral populations",4,"doi:10.1111/j.1365-2699.2011.02634.x","Historical context is source-supported but cannot replace floral-effect data."
H11,Campanula microdonta,genetic_history_context,context,primary_abstract_constraints_locked,nine_Izu_populations,"RAPD abstract: Shannon H does not correlate with mainland distance; cluster analysis suggests one colonisation per island except Miyake with at least two immigration events",complete sampled-locality table genetic similarities and population-specific values,not_as_floral_effect,"recover the original population table before constructing any numeric colonisation-history axis",4,"doi:10.1006/anbo.2001.1389; data/design/campanula_genetic_history_constraints.csv","The qualitative history constraint is retained; no island-level numeric score is inferred from the abstract."
H12,Lilium auratum var. platyphyllum,genetic_history_context,context,OA_route_known,taxon_relationship,"genetic diversity and relationship to nearby L. auratum",floral traits and compatible taxonomic units,not_as_floral_effect,"use only to resolve taxonomic comparison",4,"doi:10.2503/hortj.okd-006","History/taxonomy context only."
